record_id,date,season,year,month,is_holiday,day_of_week,is_working_day,weathersit,temperature,feels_temperature,humidity,wind_speed,casual_users_count,registered_users_count,total_rentals,temp_category
1,2011-01-01,Spring,0,1,0,6,0,Mist,0.344167,18.18125,0.805833,0.160446,331,654,985,10-20
2,2011-01-02,Spring,0,1,0,0,0,Mist,0.363478,17.686950000000003,0.696087,0.248539,131,670,801,10-20
3,2011-01-03,Spring,0,1,0,1,1,Clear,0.196364,9.47025,0.437273,0.248309,120,1229,1349,0-10
4,2011-01-04,Spring,0,1,0,2,1,Clear,0.2,10.6061,0.590435,0.160296,108,1454,1562,10-20
5,2011-01-05,Spring,0,1,0,3,1,Clear,0.226957,11.4635,0.436957,0.1869,82,1518,1600,10-20
6,2011-01-06,Spring,0,1,0,4,1,Clear,0.204348,11.66045,0.518261,0.0895652,88,1518,1606,10-20
7,2011-01-07,Spring,0,1,0,5,1,Mist,0.196522,10.441949999999999,0.498696,0.168726,148,1362,1510,10-20
8,2011-01-08,Spring,0,1,0,6,0,Mist,0.165,8.1127,0.535833,0.266804,68,891,959,0-10
9,2011-01-09,Spring,0,1,0,0,0,Clear,0.138333,5.80875,0.434167,0.36195,54,768,822,0-10
10,2011-01-10,Spring,0,1,0,1,1,Clear,0.150833,7.544400000000001,0.482917,0.223267,41,1280,1321,0-10
11,2011-01-11,Spring,0,1,0,2,1,Mist,0.169091,9.5732,0.686364,0.122132,43,1220,1263,0-10
12,2011-01-12,Spring,0,1,0,3,1,Clear,0.172727,8.02365,0.599545,0.304627,25,1137,1162,0-10
13,2011-01-13,Spring,0,1,0,4,1,Clear,0.165,7.544149999999999,0.470417,0.301,38,1368,1406,0-10
14,2011-01-14,Spring,0,1,0,5,1,Clear,0.16087,9.42065,0.537826,0.126548,54,1367,1421,0-10
15,2011-01-15,Spring,0,1,0,6,0,Mist,0.233333,12.4056,0.49875,0.157963,222,1026,1248,10-20
16,2011-01-16,Spring,0,1,0,0,0,Clear,0.231667,11.71085,0.48375,0.188433,251,953,1204,10-20
17,2011-01-17,Spring,0,1,1,1,0,Mist,0.175833,8.838550000000001,0.5375,0.194017,117,883,1000,0-10
18,2011-01-18,Spring,0,1,0,2,1,Mist,0.216667,11.61665,0.861667,0.146775,9,674,683,10-20
19,2011-01-19,Spring,0,1,0,3,1,Mist,0.292174,14.9211,0.741739,0.208317,78,1572,1650,10-20
20,2011-01-20,Spring,0,1,0,4,1,Mist,0.261667,12.7525,0.538333,0.195904,83,1844,1927,10-20
21,2011-01-21,Spring,0,1,0,5,1,Clear,0.1775,7.891650000000001,0.457083,0.353242,75,1468,1543,0-10
22,2011-01-22,Spring,0,1,0,6,0,Clear,0.0591304,3.9534800000000003,0.4,0.17197,93,888,981,0-10
23,2011-01-23,Spring,0,1,0,0,0,Clear,0.0965217,4.941955,0.436522,0.2466,150,836,986,0-10
24,2011-01-24,Spring,0,1,0,1,1,Clear,0.0973913,5.8965,0.491739,0.15833,86,1330,1416,0-10
25,2011-01-25,Spring,0,1,0,2,1,Mist,0.223478,11.726300000000002,0.616957,0.129796,186,1799,1985,10-20
26,2011-01-26,Spring,0,1,0,3,1,Light Snow,0.2175,10.18,0.8625,0.29385,34,472,506,10-20
27,2011-01-27,Spring,0,1,0,4,1,Clear,0.195,10.985,0.6875,0.113837,15,416,431,10-20
28,2011-01-28,Spring,0,1,0,5,1,Mist,0.203478,11.165849999999999,0.793043,0.1233,38,1129,1167,10-20
29,2011-01-29,Spring,0,1,0,6,0,Clear,0.196522,10.606300000000001,0.651739,0.145365,123,975,1098,10-20
30,2011-01-30,Spring,0,1,0,0,0,Clear,0.216522,12.5161,0.722174,0.0739826,140,956,1096,10-20
31,2011-01-31,Spring,0,1,0,1,1,Mist,0.180833,9.3125,0.60375,0.187192,42,1459,1501,0-10
32,2011-02-01,Spring,0,2,0,2,1,Mist,0.192174,11.726499999999998,0.829565,0.053213,47,1313,1360,10-20
33,2011-02-02,Spring,0,2,0,3,1,Mist,0.26,12.72085,0.775417,0.264308,72,1454,1526,10-20
34,2011-02-03,Spring,0,2,0,4,1,Clear,0.186957,8.8939,0.437826,0.277752,61,1489,1550,0-10
35,2011-02-04,Spring,0,2,0,5,1,Mist,0.211304,11.429350000000001,0.585217,0.127839,88,1620,1708,10-20
36,2011-02-05,Spring,0,2,0,6,0,Mist,0.233333,12.152899999999999,0.929167,0.161079,100,905,1005,10-20
37,2011-02-06,Spring,0,2,0,0,0,Clear,0.285833,14.58355,0.568333,0.1418,354,1269,1623,10-20
38,2011-02-07,Spring,0,2,0,1,1,Clear,0.271667,15.1829,0.738333,0.0454083,120,1592,1712,10-20
39,2011-02-08,Spring,0,2,0,2,1,Clear,0.220833,9.9123,0.537917,0.36195,64,1466,1530,0-10
40,2011-02-09,Spring,0,2,0,3,1,Mist,0.134783,7.21415,0.494783,0.188839,53,1552,1605,0-10
41,2011-02-10,Spring,0,2,0,4,1,Clear,0.144348,7.477399999999999,0.437391,0.221935,47,1491,1538,0-10
42,2011-02-11,Spring,0,2,0,5,1,Clear,0.189091,10.675450000000001,0.506364,0.10855,149,1597,1746,10-20
43,2011-02-12,Spring,0,2,0,6,0,Clear,0.2225,11.6477,0.544167,0.203367,288,1184,1472,10-20
44,2011-02-13,Spring,0,2,0,0,0,Clear,0.316522,16.205649999999995,0.457391,0.260883,397,1192,1589,10-20
45,2011-02-14,Spring,0,2,0,1,1,Clear,0.415,19.9175,0.375833,0.417908,208,1705,1913,10-20
46,2011-02-15,Spring,0,2,0,2,1,Clear,0.266087,12.7137,0.314348,0.291374,140,1675,1815,10-20
47,2011-02-16,Spring,0,2,0,3,1,Clear,0.318261,15.809999999999997,0.423478,0.251791,218,1897,2115,10-20
48,2011-02-17,Spring,0,2,0,4,1,Clear,0.435833,21.4329,0.505,0.230104,259,2216,2475,20-30
49,2011-02-18,Spring,0,2,0,5,1,Clear,0.521667,25.599149999999998,0.516667,0.264925,579,2348,2927,20-30
50,2011-02-19,Spring,0,2,0,6,0,Clear,0.399167,19.5702,0.187917,0.507463,532,1103,1635,10-20
51,2011-02-20,Spring,0,2,0,0,0,Clear,0.285217,13.8665,0.407826,0.223235,639,1173,1812,10-20
52,2011-02-21,Spring,0,2,1,1,0,Mist,0.303333,14.203750000000003,0.605,0.307846,195,912,1107,10-20
53,2011-02-22,Spring,0,2,0,2,1,Clear,0.182222,9.301650000000002,0.577778,0.195683,74,1376,1450,0-10
54,2011-02-23,Spring,0,2,0,3,1,Clear,0.221739,12.28585,0.423043,0.094113,139,1778,1917,10-20
55,2011-02-24,Spring,0,2,0,4,1,Mist,0.295652,14.459549999999998,0.697391,0.250496,100,1707,1807,10-20
56,2011-02-25,Spring,0,2,0,5,1,Mist,0.364348,17.52305,0.712174,0.346539,120,1341,1461,10-20
57,2011-02-26,Spring,0,2,0,6,0,Clear,0.2825,14.1096,0.537917,0.186571,424,1545,1969,10-20
58,2011-02-27,Spring,0,2,0,0,0,Clear,0.343478,17.55545,0.68,0.125248,694,1708,2402,10-20
59,2011-02-28,Spring,0,2,0,1,1,Mist,0.407273,20.005899999999997,0.876364,0.289686,81,1365,1446,20-30
60,2011-03-01,Spring,0,3,0,2,1,Clear,0.266667,13.19395,0.535,0.216425,137,1714,1851,10-20
61,2011-03-02,Spring,0,3,0,3,1,Clear,0.335,16.00355,0.449583,0.307833,231,1903,2134,10-20
62,2011-03-03,Spring,0,3,0,4,1,Clear,0.198333,10.006650000000002,0.318333,0.225754,123,1562,1685,10-20
63,2011-03-04,Spring,0,3,0,5,1,Mist,0.261667,12.783949999999999,0.610417,0.203346,214,1730,1944,10-20
64,2011-03-05,Spring,0,3,0,6,0,Mist,0.384167,18.93895,0.789167,0.251871,640,1437,2077,10-20
65,2011-03-06,Spring,0,3,0,0,0,Mist,0.376522,18.3126,0.948261,0.343287,114,491,605,10-20
66,2011-03-07,Spring,0,3,0,1,1,Clear,0.261739,11.92305,0.551304,0.341352,244,1628,1872,10-20
67,2011-03-08,Spring,0,3,0,2,1,Clear,0.2925,15.120000000000001,0.420833,0.12065,316,1817,2133,10-20
68,2011-03-09,Spring,0,3,0,3,1,Mist,0.295833,14.3304,0.775417,0.22015,191,1700,1891,10-20
69,2011-03-10,Spring,0,3,0,4,1,Light Snow,0.389091,19.2834,0.0,0.261877,46,577,623,10-20
70,2011-03-11,Spring,0,3,0,5,1,Mist,0.316522,15.25,0.649565,0.23297,247,1730,1977,10-20
